municipality,group,variable,month,Niñas(os) de 1 año con 1ra. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,7,7
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,27,27
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,37,37
AIQUILE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,32,32
ALCALA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,15,15
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,15,15
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,3,3
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,12,12
APOLO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,16,16
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,8,8
ARANI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,4,4
ARBIETO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,30,30
ARQUE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,60,60
ATOCHA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,14,14
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,7,7
AYATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,5,5
AYO AYO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,29,29
AZURDUY,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,26,26
BATALLAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,8,8
BAURES,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,6,6
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,8,8
BERMEJO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,46,46
BETANZOS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,38,38
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,7,7
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,12,12
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,31,31
CABEZAS,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,34,34
CAIROMA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,11,11
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,12,12
CAJUATA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,15,15
CALACOTO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,9,9
CAMARGO,micronutrientes,ninas(os) de 1 ano con 1ra. dosis de vitamina a,2020-01-01,24,24
