department,municipality_id,municipality,year,month,population,value
Potosí,51302,Acacio,2013,1,Vaginales,7
La Paz,20201,Achacachi,2013,1,Vaginales,32
La Paz,20104,Achocalla,2013,1,Vaginales,7
Cochabamba,30201,Aiquile,2013,1,Vaginales,35
Cochabamba,31303,Alalay,2013,1,Vaginales,1
Chuquisaca,10404,Alcala,2013,1,Vaginales,8
La Paz,22002,Alto Beni,2013,1,Vaginales,16
La Paz,20202,Ancoraimes,2013,1,Vaginales,5
Oruro,40603,Antequera,2013,1,Vaginales,1
Cochabamba,30402,Anzaldo,2013,1,Vaginales,3
La Paz,20701,Apolo,2013,1,Vaginales,15
Potosí,51301,Arampampa,2013,1,Vaginales,1
Cochabamba,30501,Arani,2013,1,Vaginales,8
Cochabamba,30403,Arbieto,2013,1,Vaginales,12
Cochabamba,30601,Arque,2013,1,Vaginales,5
Santa Cruz,71501,Ascencion De Guarayos,2013,1,Vaginales,59
Potosí,50802,Atocha,2013,1,Vaginales,7
La Paz,20502,Ayata,2013,1,Vaginales,2
La Paz,21303,Ayo Ayo,2013,1,Vaginales,5
Cochabamba,30301,Ayopaya (v. De Independencia),2013,1,Vaginales,15
La Paz,21203,Batallas,2013,1,Vaginales,7
Beni,80802,Baures,2013,1,Vaginales,7
Potosí,50104,Belen De Urmiri,2013,1,Vaginales,1
Tarija,60202,Bermejo,2013,1,Vaginales,35
Potosí,50301,Betanzos,2013,1,Vaginales,29
Cochabamba,31501,Bolivar,2013,1,Vaginales,2
Santa Cruz,70707,Boyuibe,2013,1,Vaginales,6
Santa Cruz,70703,Cabezas,2013,1,Vaginales,33
La Paz,20905,Cairoma,2013,1,Vaginales,6
Potosí,51102,"Caiza ""d""",2013,1,Vaginales,2
La Paz,21003,Cajuata,2013,1,Vaginales,13
La Paz,21304,Calamarca,2013,1,Vaginales,8
Chuquisaca,10701,Camargo,2013,1,Vaginales,18
Chuquisaca,10901,Camataqui (c. Villa Abecia),2013,1,Vaginales,2
Santa Cruz,70706,Camiri,2013,1,Vaginales,30
Cochabamba,30701,Capinota,2013,1,Vaginales,19
La Paz,20302,Caquiaviri,2013,1,Vaginales,5
Oruro,40102,Caracollo,2013,1,Vaginales,11
La Paz,22001,Caranavi,2013,1,Vaginales,57
Oruro,41503,Carangas,2013,1,Vaginales,1
